credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited
685,France,Male,20,4.0,104719.94,2,1,0,38691.34,0
488,France,Female,36,0.0,0.0,2,1,0,136675.22,0
451,Spain,Female,23,9.0,0.0,2,0,1,48021.71,0
676,France,Female,49,1.0,0.0,1,1,0,79342.31,1
763,Germany,Male,42,6.0,100160.75,1,1,0,33462.94,1
540,France,Female,40,3.0,165298.12,1,0,1,199862.75,0
681,Spain,Male,30,2.0,128393.29,1,1,1,180593.45,0
619,Spain,Male,38,3.0,96143.47,1,0,0,98994.92,0
503,Spain,Male,32,9.0,100262.88,2,1,1,157921.25,0
526,France,Male,32,7.0,125540.05,1,0,0,86786.41,0
634,Germany,Female,31,8.0,76798.92,1,0,0,196021.73,0
598,Spain,Male,41,8.0,0.0,2,1,1,161954.43,0
656,France,Male,41,2.0,0.0,2,1,0,158973.77,0
666,France,Female,59,5.0,0.0,2,1,1,185123.09,0
656,France,Male,45,5.0,127864.4,1,1,0,87107.57,0
636,France,Female,35,2.0,0.0,2,1,1,23129.46,0
627,France,Male,41,3.0,0.0,2,1,0,132719.8,0
757,France,Male,57,3.0,89079.41,1,1,1,53179.21,1
618,Germany,Female,40,1.0,133245.52,2,1,1,54495.82,0
543,Germany,Male,41,6.0,143350.41,1,1,1,192070.16,1
800,France,Female,29,2.0,0.0,2,0,0,167773.55,0
542,Spain,Male,35,2.0,174894.53,1,1,1,22314.55,0
666,France,Female,41,10.0,141162.08,1,1,0,50908.48,0
723,Spain,Male,30,1.0,0.0,3,1,0,164647.72,1
525,Spain,Female,60,7.0,0.0,2,0,1,168034.9,0
449,France,Male,52,5.0,0.0,2,0,1,123622.0,0
661,Spain,Male,20,5.0,0.0,1,1,0,110252.53,0
723,France,Male,48,7.0,0.0,2,1,1,150694.58,0
634,Germany,Male,48,2.0,107247.69,1,1,1,103712.05,1
552,Spain,Male,55,3.0,0.0,1,1,1,40333.94,0
630,Germany,Male,29,6.0,131354.39,1,0,1,9324.31,1
754,Spain,Female,50,7.0,146777.44,2,0,1,150685.52,0
597,Germany,Female,22,6.0,101528.61,1,1,0,70529.0,1
652,Germany,Female,37,4.0,145219.3,1,1,0,159132.83,0
698,Spain,Female,31,8.0,185078.26,1,0,0,115337.74,1
627,France,Male,70,1.0,94416.78,1,0,1,145299.5,0
663,Spain,Male,31,4.0,103430.11,2,0,1,36479.27,0
581,France,Male,54,4.0,89299.81,1,0,0,5558.47,1
599,Spain,Female,49,2.0,0.0,2,1,0,111190.53,0
850,Germany,Male,32,9.0,141827.33,2,1,1,149458.73,0
650,France,Male,37,5.0,106967.18,1,0,0,24495.03,0
670,Germany,Female,32,4.0,102954.68,2,0,1,134942.45,0
579,Germany,Male,31,2.0,90547.48,2,1,1,18800.13,0
795,Germany,Female,56,9.0,94348.94,1,1,0,29239.29,1
550,Spain,Male,34,3.0,0.0,2,0,0,131281.28,0
769,France,Male,29,8.0,0.0,2,1,1,172290.61,0
653,France,Female,43,3.0,0.0,2,1,1,7330.59,0
637,Germany,Female,46,2.0,143500.82,1,1,0,166996.46,1
776,France,Male,39,8.0,125211.55,2,1,0,144496.07,0
457,France,Female,33,7.0,127837.54,1,0,1,60013.17,0
504,Spain,Female,46,2.0,163764.84,1,1,1,165122.55,1
636,France,Male,34,8.0,0.0,2,1,0,38570.13,0
644,Germany,Female,40,4.0,77270.08,2,1,1,115800.1,1
805,Spain,Female,39,5.0,165272.13,1,1,0,14109.85,1
698,France,Male,41,3.0,90605.29,1,1,1,14357.0,0
488,Germany,Male,32,3.0,114540.38,1,1,0,92568.07,0
528,Spain,Male,36,7.0,0.0,2,1,0,60536.56,0
655,Germany,Female,44,6.0,146498.76,1,1,0,64853.51,1
850,Spain,Female,45,5.0,174088.3,4,1,0,5669.31,1
453,Germany,Female,40,4.0,111524.49,1,1,1,120373.84,1
605,Spain,Female,48,10.0,150315.92,1,0,1,133486.36,0
533,France,Female,39,2.0,0.0,1,0,1,73669.94,1
556,France,Female,40,9.0,129860.37,1,0,0,17992.94,0
753,France,Male,35,3.0,0.0,2,1,1,184843.77,0
753,France,Male,48,4.0,0.0,2,0,1,146821.42,0
643,France,Male,37,6.0,0.0,2,0,0,142454.77,0
715,France,Male,40,7.0,0.0,1,1,1,141359.11,0
682,France,Male,55,9.0,0.0,1,1,0,153356.8,1
599,Germany,Male,46,9.0,123444.72,1,1,1,31368.08,1
625,France,Male,52,5.0,164978.01,1,1,1,67788.49,0
722,France,Male,37,2.0,0.0,1,0,0,120906.83,0
672,France,Female,53,7.0,0.0,1,1,1,136910.18,0
615,Spain,Female,29,7.0,143330.56,2,1,1,126396.01,0
665,Germany,Female,43,2.0,116322.27,4,1,0,35640.12,1
554,France,Female,44,6.0,92436.86,1,1,0,126033.9,0
709,Germany,Male,45,4.0,122917.71,1,1,1,11.58,1
425,France,Male,39,4.0,0.0,2,1,0,197226.32,0
557,France,Female,28,7.0,146445.24,2,1,0,184317.74,0
399,Germany,Male,46,2.0,127655.22,1,1,0,139994.68,1
614,Spain,Female,41,7.0,179915.85,1,0,0,14666.35,1
778,Germany,Female,29,7.0,123229.46,1,1,0,181221.09,0
507,Germany,Male,31,9.0,111589.67,1,1,0,150037.19,0
561,France,Female,31,1.0,81480.27,2,1,1,65234.6,0
518,France,Male,40,4.0,0.0,2,0,1,194416.58,0
706,Spain,Female,53,3.0,0.0,3,0,0,88479.02,1
640,Germany,Female,74,2.0,116800.25,1,1,1,34130.43,0
703,Spain,Male,73,5.0,137761.55,1,1,1,159677.46,0
464,France,Male,46,6.0,161798.53,1,1,0,182944.47,0
809,Spain,Female,33,2.0,0.0,2,0,1,141426.78,0
611,France,Male,38,4.0,71018.6,2,1,0,2444.29,0
638,France,Female,36,6.0,0.0,1,1,0,164247.51,0
518,France,Male,59,2.0,138772.15,1,0,1,123872.0,0
705,France,Female,37,10.0,0.0,2,1,1,13935.53,1
744,Spain,Male,35,7.0,0.0,2,1,1,43036.6,0
658,France,Male,25,3.0,0.0,2,0,1,173948.4,0
538,Spain,Female,30,8.0,0.0,2,1,1,41192.95,0
515,France,Male,40,0.0,109542.29,1,1,1,166370.81,0
744,France,Male,29,1.0,43504.42,1,1,1,119327.75,0
487,France,Female,53,10.0,89550.85,1,0,1,90076.85,0
614,Spain,Female,36,1.0,44054.84,1,1,1,73329.08,0
501,France,Male,42,9.0,114631.23,1,0,1,91429.74,0
666,Spain,Male,43,5.0,0.0,2,1,0,29346.1,0
486,Germany,Male,37,1.0,101438.0,1,0,0,51364.56,0
611,France,Male,27,7.0,0.0,2,1,1,157474.1,0
543,France,Male,22,8.0,0.0,2,0,0,127587.22,0
701,Spain,Female,30,2.0,0.0,2,1,0,115650.63,0
558,France,Male,40,6.0,0.0,2,1,0,173844.89,0
806,France,Female,67,1.0,0.0,2,0,1,103945.58,0
578,France,Male,30,1.0,169462.09,1,1,0,112187.11,0
736,Germany,Female,36,8.0,103914.17,1,1,1,110035.88,1
603,France,Male,44,9.0,0.0,1,1,0,138328.24,0
592,France,Male,28,2.0,116498.22,1,1,0,144290.25,0
474,France,Male,33,5.0,0.0,2,1,0,181945.52,1
710,Germany,Female,46,10.0,120530.34,1,1,0,166586.99,1
701,France,Female,34,3.0,105588.66,1,0,1,74694.41,0
678,Germany,Male,48,2.0,101099.9,2,0,1,193476.04,0
715,France,Male,37,9.0,165252.52,1,1,0,85286.3,0
595,Germany,Male,32,8.0,131081.66,2,1,1,69428.79,0
734,Germany,Female,47,10.0,91522.04,2,1,1,138835.91,0
769,Spain,Male,38,6.0,0.0,2,0,0,104393.78,0
794,France,Female,41,7.0,0.0,2,1,1,74275.08,0
603,Spain,Female,42,8.0,91611.12,1,0,0,144675.3,1
564,France,Female,27,6.0,0.0,1,0,0,7819.76,0
487,France,Male,24,7.0,133628.09,2,1,1,98570.01,0
672,Spain,Female,56,2.0,209767.31,2,1,1,150694.42,1
850,Spain,Female,45,4.0,114347.85,2,1,1,109089.04,0
697,Germany,Female,38,6.0,132591.36,1,1,1,7387.8,1
619,France,Female,28,3.0,0.0,2,1,0,53394.12,0
668,Germany,Female,28,1.0,124511.01,1,0,0,114258.18,0
634,France,Male,34,3.0,145030.92,1,1,1,41820.65,0
555,France,Male,31,8.0,145875.74,1,1,0,137491.23,0
786,Germany,Female,32,2.0,104336.43,2,0,0,59559.81,0
738,Spain,Male,35,8.0,127290.61,1,1,0,16081.62,0
634,Germany,Male,27,3.0,107027.52,1,1,0,173425.68,0
667,Spain,Female,39,2.0,0.0,2,1,0,40721.24,1
579,France,Male,38,8.0,0.0,2,0,0,91763.67,0
617,Germany,Female,39,5.0,83348.89,3,1,0,7953.62,1
636,France,Male,36,5.0,117559.05,2,1,1,111573.3,0
768,France,Male,25,0.0,78396.08,1,1,1,8316.19,0
522,Spain,Male,34,3.0,126436.29,1,1,0,174248.52,1
383,Spain,Female,48,8.0,95808.19,1,0,0,137702.01,1
850,France,Male,34,2.0,72079.71,1,1,1,115767.93,0
742,France,Male,32,6.0,160485.16,1,1,0,29023.03,0
619,Spain,Female,32,4.0,175406.13,2,1,1,172792.43,1
519,France,Female,21,1.0,146329.57,2,1,1,194867.27,0
850,Spain,Male,38,1.0,146343.98,1,0,1,103902.11,0
700,France,Female,26,2.0,0.0,2,0,0,50051.42,0
646,Germany,Male,32,8.0,105397.8,1,1,0,78111.84,1
763,Spain,Female,39,7.0,0.0,2,1,0,19458.75,0
695,France,Male,45,3.0,0.0,2,1,1,30793.61,0
545,Germany,Male,33,1.0,132527.9,2,0,1,107429.71,0
435,France,Male,54,3.0,0.0,1,1,0,156910.46,1
552,Germany,Male,39,2.0,132906.88,1,0,1,149384.43,0
675,France,Female,32,6.0,155663.31,1,1,0,97658.66,0
659,Spain,Male,27,4.0,0.0,2,1,0,99341.87,0
709,Spain,Male,35,2.0,0.0,2,1,0,104982.39,0
597,Spain,Female,33,2.0,0.0,2,1,1,4700.66,0
527,France,Male,47,1.0,0.0,1,1,0,21312.16,1
669,France,Male,46,3.0,0.0,2,0,1,8487.75,0
584,Spain,Female,50,1.0,0.0,1,0,1,152567.75,1
733,France,Male,39,1.0,0.0,2,1,1,141841.31,0
706,France,Male,34,8.0,0.0,2,1,1,37479.97,0
671,France,Female,31,6.0,0.0,2,1,1,15846.42,0
659,Germany,Male,29,9.0,82916.48,1,1,1,84133.48,0
731,France,Male,30,7.0,0.0,2,1,1,184581.68,0
477,France,Female,30,6.0,131286.46,1,1,0,194144.45,0
632,Spain,Female,39,5.0,97854.37,2,1,0,93536.38,0
588,Spain,Male,34,10.0,0.0,2,1,0,79078.91,0
576,France,Female,50,8.0,0.0,2,1,1,57802.62,0
850,France,Male,30,3.0,121535.18,1,0,0,40313.47,0
520,France,Female,38,4.0,0.0,2,1,0,56388.63,0
623,Germany,Male,42,1.0,149332.48,2,1,0,100834.22,0
720,Germany,Female,43,10.0,110822.9,1,0,0,72861.94,0
615,France,Female,61,1.0,104267.7,1,1,0,62845.64,1
668,Germany,Female,59,5.0,120170.07,1,0,1,50454.8,0
499,France,Female,38,5.0,0.0,2,0,1,183042.2,0
584,Spain,Male,32,9.0,85534.83,1,0,0,169137.24,0
668,Spain,Female,69,9.0,0.0,1,0,1,134483.07,0
742,France,Female,29,4.0,0.0,2,1,1,180066.59,0
666,Germany,Female,21,1.0,121827.43,2,1,1,99818.31,0
766,France,Female,27,7.0,158786.67,2,0,1,47579.25,0
687,Germany,Male,26,2.0,142721.52,1,1,1,153605.75,0
706,Germany,Male,31,1.0,117020.08,2,1,0,54439.53,0
713,France,Male,43,5.0,86394.14,1,1,1,130001.13,0
487,Spain,Female,31,1.0,0.0,2,1,0,158750.13,0
618,Spain,Female,40,8.0,0.0,2,1,0,80204.38,0
492,France,Female,28,9.0,0.0,2,1,0,95957.09,0
722,Germany,Female,32,5.0,106807.64,1,1,1,76998.69,0
650,Germany,Male,23,4.0,93911.3,2,1,0,69055.45,0
642,France,Male,35,4.0,125476.31,1,1,1,91775.51,0
640,Spain,Female,46,8.0,0.0,2,1,0,89043.19,0
699,France,Male,27,1.0,0.0,2,1,0,93003.21,0
781,France,Female,48,0.0,57098.96,1,1,0,85644.06,1
647,Spain,Female,29,2.0,0.0,2,1,0,179032.68,0
669,France,Male,26,4.0,0.0,2,1,1,197594.34,0
532,France,Male,36,4.0,0.0,2,1,1,132798.78,0
773,France,Female,50,4.0,0.0,2,1,0,129372.94,0
597,Germany,Male,52,8.0,83693.34,2,1,1,161083.53,0
685,Germany,Male,57,7.0,101868.51,1,0,1,113483.96,0
751,France,Male,31,8.0,0.0,2,0,0,17550.49,0
610,Germany,Male,49,6.0,113882.33,1,1,0,195813.81,1
655,France,Male,37,5.0,93147.0,2,1,0,66214.13,0
670,France,Male,25,7.0,0.0,2,1,1,144723.38,0
554,Spain,Female,34,8.0,0.0,1,0,1,106981.03,0
682,France,Female,30,9.0,0.0,2,1,1,195104.91,0
603,France,Female,34,6.0,0.0,2,1,0,167916.35,0
698,France,Female,40,7.0,105061.74,3,1,0,107815.31,1
601,France,Female,38,0.0,0.0,2,1,0,165196.65,0
700,France,Male,38,8.0,134811.3,1,1,0,1299.75,0
715,Spain,Male,38,0.0,96798.79,2,1,1,4554.67,0
727,Germany,Male,40,1.0,93051.64,2,1,0,71865.31,1
727,Germany,Male,34,2.0,146407.11,1,1,1,72073.72,0
580,France,Male,50,0.0,125647.36,1,1,0,57541.08,1
525,Germany,Female,47,1.0,118087.68,1,1,0,88120.78,1
650,France,Male,60,8.0,0.0,2,1,1,102925.76,0
770,Germany,Female,46,5.0,141788.63,2,0,0,164967.21,0
710,Spain,Female,36,8.0,0.0,2,0,0,83206.19,0
511,France,Male,33,7.0,0.0,2,0,1,158313.87,0
628,Germany,Male,29,3.0,113146.98,2,0,1,124749.08,0
666,France,Male,43,7.0,137780.74,2,1,1,119100.05,1
541,France,Male,46,4.0,124547.13,2,1,0,94499.06,0
512,Spain,Male,36,1.0,0.0,1,0,1,135482.26,1
618,France,Male,37,5.0,0.0,1,0,1,178705.45,1
493,Germany,Female,35,10.0,178317.6,1,0,0,197428.64,0
806,Germany,Male,34,2.0,96152.68,2,1,0,143711.02,0
523,France,Male,22,5.0,123374.46,1,1,1,124906.59,0
712,Germany,Male,38,7.0,132767.66,2,1,1,59115.77,0
733,France,Male,36,5.0,0.0,2,1,1,109127.54,0
655,France,Female,50,10.0,0.0,4,1,0,179267.94,1
662,France,Female,37,5.0,0.0,2,1,0,151871.84,0
637,France,Female,38,3.0,104339.56,1,0,0,119882.86,0
590,France,Male,31,8.0,112211.61,1,1,0,26261.42,0
697,Spain,Female,25,5.0,82931.85,2,1,1,128373.88,0
520,France,Female,39,1.0,73493.17,1,0,1,109626.13,1
539,Spain,Male,39,2.0,0.0,2,1,1,48189.94,0
602,France,Male,31,7.0,155271.83,1,1,1,179446.31,0
695,Spain,Male,56,1.0,0.0,3,1,0,187734.49,1
522,France,Male,41,5.0,144147.68,1,1,1,14789.9,0
679,France,Male,37,7.0,74260.03,1,1,0,194617.98,0
634,Germany,Female,29,9.0,130036.21,2,0,1,69849.55,0
614,France,Female,35,1.0,0.0,2,1,1,3342.62,0
613,Spain,Male,35,4.0,123557.65,2,0,1,170903.4,0
812,Spain,Male,38,8.0,127117.8,2,1,1,174822.74,0
413,Germany,Male,39,1.0,130969.77,2,1,1,158891.79,0
760,Spain,Female,33,1.0,118114.28,2,0,1,156660.21,0
695,France,Female,36,2.0,0.0,2,0,1,167749.54,0
612,Germany,Male,46,9.0,161450.03,1,1,1,96961.0,1
605,Germany,Male,28,10.0,113690.83,1,1,0,33114.24,0
812,Germany,Male,33,2.0,127154.14,2,0,1,105383.49,0
703,France,Male,56,9.0,0.0,1,0,0,85547.33,1
709,France,Female,30,5.0,0.0,2,0,1,161388.22,0
584,Germany,Male,47,7.0,130538.77,1,1,0,92915.84,0
707,France,Male,29,4.0,0.0,2,1,0,139953.94,0
760,Spain,Male,28,1.0,141038.57,2,0,0,16287.38,0
673,France,Male,39,7.0,82255.51,2,1,0,109545.56,0
759,France,Male,40,4.0,0.0,2,1,0,124615.59,0
702,France,Female,46,9.0,98444.19,1,0,1,109563.28,0
684,Germany,Male,29,8.0,127269.75,1,0,1,79495.01,0
697,Germany,Male,43,8.0,103409.16,1,1,0,66893.28,1
628,Spain,Female,33,3.0,0.0,1,1,1,188193.25,0
663,France,Female,27,9.0,0.0,2,1,0,150850.29,0
649,France,Female,31,2.0,0.0,2,1,0,15200.61,0
665,France,Male,25,7.0,90920.75,1,0,1,112256.57,0
680,France,Male,23,5.0,140007.19,1,0,1,31714.08,0
660,France,Female,31,6.0,172325.67,1,0,1,45438.38,0
534,Spain,Male,34,5.0,170600.78,1,0,1,5240.53,0
739,Spain,Male,38,0.0,128366.44,1,1,0,12796.43,0
647,Germany,Male,37,3.0,116509.99,1,1,1,149517.71,1
806,Spain,Female,37,2.0,137794.18,2,0,1,75232.02,0
483,France,Male,27,1.0,77805.66,1,1,1,2101.89,0
566,Spain,Male,44,5.0,0.0,2,1,0,66462.79,0
678,France,Female,32,9.0,0.0,1,1,1,148210.64,0
687,Spain,Female,44,7.0,0.0,3,1,0,155853.52,1
547,Spain,Female,31,9.0,0.0,2,0,0,99294.22,0
593,France,Female,41,6.0,0.0,1,1,0,65170.66,0
550,France,Male,22,6.0,154377.3,1,1,1,51721.52,0
850,France,Male,49,5.0,122486.47,1,0,1,59748.19,0
512,Spain,Female,35,5.0,124580.69,1,1,1,18785.48,0
620,Spain,Male,38,0.0,0.0,2,1,1,38015.34,0
693,Spain,Female,39,0.0,0.0,2,0,0,81901.6,0
698,France,Female,57,9.0,111359.55,2,1,0,105715.01,0
751,Germany,Female,37,0.0,151218.98,1,1,1,109309.29,0
516,Germany,Female,53,1.0,156674.2,1,1,0,118502.34,1
718,Spain,Male,45,10.0,105266.32,2,1,1,193724.51,0
551,France,Male,37,3.0,0.0,2,1,1,50578.4,0
787,Spain,Male,39,10.0,108935.39,1,1,1,101168.3,0
642,Spain,Male,32,7.0,100433.8,1,1,1,39768.59,0
662,Germany,Male,39,5.0,139822.11,2,1,1,146219.9,0
784,Spain,Male,38,10.0,122267.85,1,0,0,145759.93,0
638,Germany,Female,33,5.0,129335.65,1,1,1,56585.2,1
551,Germany,Male,31,9.0,82293.82,2,1,1,91565.25,0
612,France,Male,24,1.0,182705.05,1,1,1,171837.06,0
611,France,Male,53,3.0,83568.26,1,0,0,1235.49,0
617,Spain,Female,36,7.0,115617.24,1,1,1,71519.4,0
614,Germany,Female,31,10.0,120599.38,2,1,1,46163.44,0
529,Spain,Female,39,2.0,82766.43,1,1,1,122925.44,0
552,France,Male,42,9.0,133701.07,2,1,0,101069.71,1
645,Spain,Female,21,1.0,0.0,2,0,0,28726.07,0
682,Spain,Female,58,4.0,0.0,1,1,0,176036.01,0
470,France,Male,35,1.0,96473.59,1,0,0,5962.3,0
698,Germany,Female,51,2.0,111018.98,1,1,0,86410.28,0
809,Spain,Male,80,8.0,0.0,2,0,1,34164.05,0
820,France,Female,49,1.0,0.0,2,1,1,119087.25,0
850,Spain,Male,34,8.0,199229.14,1,0,0,68106.29,0
